SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
ADPR,5790,Advertising Portfolio Seminar,,Advertising and Pub Relations,,,,,,,
29777 0,A 3.0 - 3.0,T,12:30 pm-01:45 pm,0062 0204,Athens,,,Strausbaugh-Hutchinson 1,,20,20
0,A 3.0 - 3.0,R,11:00 am-01:45 pm,0062 0204,Athens,,,Strausbaugh-Hutchinson 1,,20,20
ADPR,5910,Public Relations Admin,,Advertising and Pub Relations,,,,,,,
14265 0,A 3.0 - 3.0,T,05:00 pm-07:45 pm,0081 0147,Athens,,,,1,44,44
14266 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0081 0147,Athens,,,Acosta Alzuru,1,44,44
ADPR,5920,Public Relations Communication,,Advertising and Pub Relations,,,,,,,
10725 0,A 3.0 - 3.0,W,12:20 pm-02:15 pm,0062 0204,Athens,,,Len-Rios,1,22,22
0,A 3.0 - 3.0,M,12:20 pm-01:10 pm,0081 0213,Athens,,,Len-Rios,1,22,22
10748 0,A 3.0 - 3.0,M,12:20 pm-01:10 pm,0081 0213,Athens,,,Len-Rios,1,22,22
0,A 3.0 - 3.0,,F 12:20 pm-02:15 pm,0062 0204,Athens,,,Len-Rios,1,22,22
34113 0,A 3.0 - 3.0,M,12:20 pm-01:10 pm,0081 0213,Athens,,,Len-Rios,1,22,22
0,A 3.0 - 3.0,,F 12:20 pm-02:15 pm,0062 0402,Athens,,,Len-Rios,1,22,22
34114 0,A 3.0 - 3.0,M,12:20 pm-01:10 pm,0081 0213,Athens,,,Len-Rios,1,22,22
0,A 3.0 - 3.0,W,12:20 pm-02:15 pm,0062 0402,Athens,,,Len-Rios,1,22,22
ADPR,5950,Public Relations Campaigns,,Advertising and Pub Relations,,,,,,,
10724 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081 0267,Athens,,,Acosta Alzuru,1,30,30
10753 0,A 3.0 - 3.0,M W,10:10 am-12:05 pm,0062 0402,Athens,,,Len-Rios,1,30,30
ADPR,5990,Seminar in ADPR,,Advertising and Pub Relations,,,,,,,
14282 0,A 3.0 - 3.0,,F 09:05 am-12:05 pm,0062 0402,Athens,,,,1,40,40
ADPR,7760,Digital and Social Comm Strate,,Advertising and Pub Relations,,,,,,,
31152 0,A 3.0 - 3.0,M,01:25 pm-04:25 pm,0062 0409,Athens,,,Russell,1,25,25
ADPR,7950,Public Relations Campaigns,,Advertising and Pub Relations,,,,,,,
10750 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081 0267,Athens,,,Acosta Alzuru,1,10,10
10754 0,A 3.0 - 3.0,M W,10:10 am-12:05 pm,0062 0402,Athens,,,Len-Rios,1,10,10
ADSC,2000,Animal Practicum,,Animal and Dairy Science,,,,,,,
12230 0,A 3.0 - 3.0,T,08:00 am-09:15 am,1503 0101,Athens,,,Foley,1,60,60
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
ADSC,2000L,Animal Pract Lab,,Animal and Dairy Science,,,,,,,
13830 0,A 0.0 - 0.0,R,08:00 am-12:15 pm,1502 0104,,,Athens,Foley,1,20,20
13839 0,A 0.0 - 0.0,T,02:00 pm-06:15 pm,1502 0104,,,Athens,Foley,1,20,20
13846 0,A 0.0 - 0.0,R,02:00 pm-06:15 pm,1502 0104,,,Athens,Foley,1,20,20
ADSC,2010,Intro Animal and Dairy Science,,Animal and Dairy Science,,,,,,,
13852 0,A 3.0 - 3.0,T,06:30 pm-07:45 pm,1694 S150,,,Athens,Dove,1,90,90
0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,1503 0101,,,Athens,Dove,1,90,90
ADSC,2300,Companion Anim Care,,Animal and Dairy Science,,,,,,,
14007 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,1503 0101,,,Athens,Turner,1,100,100
ADSC,2500L,Beg Horsemanship,,Animal and Dairy Science,,,,,,,
14017 0,A 2.0 - 2.0,M W,09:05 am-11:00 am,1694 N200,,,Athens,Duberstein,1,14,14
14026 0,A 2.0 - 2.0,T R,09:30 am-12:15 pm,TBA TBA,,,Athens,Duberstein,1,14,14
ADSC,3130,Anim Biotech,,Animal and Dairy Science,,,,,,,
14028 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1503 0114,,,Athens,West,1,30,30
ADSC,3200,Eval Composit Lvstk,,Animal and Dairy Science,,,,,,,
14043 0,A 3.0 - 3.0,W,02:30 pm-03:20 pm,1503 0118,,,Athens,Pringle,1,42,42
ADSC,3200L,Eval Composit Lab,,Animal and Dairy Science,,,,,,,
14051 0,A 0.0 - 0.0,M,F 02:30 pm-05:30 pm,1502 0104,,,Athens,Pringle,1,42,42
ADSC,3400,Phys Reprod,,Animal and Dairy Science,,,,,,,
15909 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,1503 0101,,,Athens,Bohlen,1,90,90
ADSC,3550,Behav Domestic Anim,,Animal and Dairy Science,,,,,,,
11598 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1013 0240,,,Athens,Webster,1,40,40
ADSC,3610,Pork Prod and Mgmt,,Animal and Dairy Science,,,,,,,
14085 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,1503 0114,,,Athens,Dove,1,24,24
ADSC,3610L,Pork Prod Lab,,Animal and Dairy Science,,,,,,,
14090 0,A 0.0 - 0.0,W,12:20 pm-02:15 pm,1503 0116,,,Athens,Dove,1,24,24
ADSC,3620,Dairy Prod and Mgmt,,Animal and Dairy Science,,,,,,,
15929 0,A 3.0 - 3.0,M W,12:20 pm-01:10 pm,1503 0114,,,Athens,Bohlen,1,25,25
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
ADSC,3620L,Dairy Prod Lab,,Animal and Dairy Science,,,,,,,
15936 0,A 0.0 - 0.0,R,02:00 pm-04:45 pm,1690 0114,,,Athens,Bohlen,1,25,25
ADSC,3630,Horse Prod and Mgmt,,Animal and Dairy Science,,,,,,,
34539 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,1503 0101,,,Athens,Turner,1,24,24
ADSC,3630L,Horse Prod Lab,,Animal and Dairy Science,,,,,,,
34540 0,A 0.0 - 0.0,T,11:00 am-01:45 pm,1503 0101,,,Athens,Turner,1,24,24
ADSC,3660,Aquaculture,,Animal and Dairy Science,,,,,,,
34662 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,4791 0201,,,Tifton,Burtle,1,30,30
ADSC,3660L,Aquaculture Lab,,Animal and Dairy Science,,,,,,,
34663 0,A 0.0 - 0.0,T R,02:00 pm-05:00 pm,4791 0201,,,Tifton,Burtle,1,30,30
ADSC,3700,Sp Prob Ads,,Animal and Dairy Science,,,,,,,
14100 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR TBA,,,Athens,Turner,1,10,10
14126 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR TBA,,,Athens,Duberstein,1,10,10
32622 0,A 1.0 - 6.0,M W,03:00 pm-05:00 pm,TBA TBA,,,Tifton,Segers,1,10,10
ADSC,3810,Ads Orientation,,Animal and Dairy Science,,,,,,,
19512 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,1503 0101,,,Athens,Foley,1,60,60
ADSC,3910,Internship in Ads,,Animal and Dairy Science,,,,,,,
15980 0,A 3.0 - 6.0,,12:01 am-11:59 pm,NCRR TBA,,,Athens,Pringle,1,60,60
ADSC,3920,ADS Internship II,,Animal and Dairy Science,,,,,,,
34755 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR TBA,,,Athens,Pringle,1,30,30
ADSC,4310,Quant Feeding Lvsk,,Animal and Dairy Science,,,,,,,
20342 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1503 0116,,,Athens,Dove,1,30,30
ADSC,4310L,Quant Feeding Lab,,Animal and Dairy Science,,,,,,,
20346 0,A 0.0 - 0.0,T,02:00 pm-04:45 pm,1503 0116,,,Athens,Dove,1,30,30
ADSC,4370,Monogastric Nutr,,Animal and Dairy Science,,,,,,,
15992 0,A 3.0 - 3.0,M W,02:30 pm-04:25 pm,1503 0114,,,Athens,Azain,1,20,20
ADSC,4390,Equine Nutrition,,Animal and Dairy Science,,,,,,,
16031 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,1503 0114,,,Athens,Duberstein,1,30,30
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
ADSC,4390L,Equine Nutrition L,,Animal and Dairy Science,,,,,,,
26971 0,A 0.0 - 0.0,,12:01 am-11:59 pm,NCRR TBA,,,Athens,Duberstein,1,30,30
ADSC,4430,Equine Exer Phys,,Animal and Dairy Science,,,,,,,
16053 0,A 3.0 - 3.0,M,F 01:25 pm-02:15 pm,1503 0101,,,Athens,Turner,1,30,30
ADSC,4430L,Equine Exer Phys,,Animal and Dairy Science,,,,,,,
26587 0,A 0.0 - 0.0,W,01:25 pm-03:20 pm,1503 0101,,,Athens,Turner,1,30,30
ADSC,6370,Monogastric Nutr,,Animal and Dairy Science,,,,,,,
16006 0,A 3.0 - 3.0,M W,02:30 pm-04:25 pm,1694 N200,,,Athens,,1,22,22
ADSC,6390,Equine Nutrition,,Animal and Dairy Science,,,,,,,
16040 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,1503 0114,,,Athens,Duberstein,1,4,4
ADSC,6430,Equine Exer Phys,,Animal and Dairy Science,,,,,,,
16059 0,A 3.0 - 3.0,M,F 01:25 pm-02:15 pm,1503 0101,,,Athens,Turner,1,10,10
ADSC,6430L,Equine Exer Phys,,Animal and Dairy Science,,,,,,,
26603 0,A 0.0 - 0.0,W,01:25 pm-02:15 pm,1503 0101,,,Athens,Turner,1,10,10
AESC,2050,Agric and Culture,,,,,,,,,
17082 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1001 0430,,,Athens,Kiepper,1,350,350
AESC,3920,Agr Env Sci Intern,,,,,,,,,
31341 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Espelie,1,15,15
AESC,4920S,FOCUS Service Learning Exper,,,,,,,,,
10945 0,A 3.0 - 3.0,T,02:30 pm-03:20 pm,1060 0581,,,Athens,Knauft,1,20,20
10947 0,A 3.0 - 3.0,W,02:30 pm-03:20 pm,1060 0581,,,Athens,Knauft,1,20,20
34780 0,A 3.0 - 3.0,W,03:35 pm-04:25 pm,1060 0581,,,Athens,Knauft,1,20,20
AESC,4950,Spec Prob in Aesc,,,,,,,,,
19948 0,A 1.0 - 3.0,M,03:30 pm-04:30 pm,TBA TBA,,,Tifton,,1,10,10
29398 0,A 1.0 - 1.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,20,20
AESC,4960,Undergrad Res Aesc,,,,,,,,,
33884 0,A 2.0 - 6.0,,12:01 am-11:59 pm,NCRR TBA,,,Griffin,Chen,1,1,1
AESC,6920S,FOCUS Service Learning Exper,,,,,,,,,
10955 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Knauft,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
AFAM,2000,Intro Afri Amer St,,Inst for Afr American Studies,,,,,,,
25153 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0053 0230,,,Athens,Morrow,1,25,25
29931 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0062 0507,,,Athens,Feracho,1,25,25
30890 0,A 3.0 - 3.0,T R,08:00 am-09:15 am,0053 0135,,,Athens,Lee,1,25,25
30891 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0056 0139,,,Athens,Miller,1,25,25
AFAM,2020,African Am Society,,Inst for Afr American Studies,,,,,,,
34440 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0050 0322,,,Athens,Clayton,1,45,45
AFAM,3102,Mod Afr Amer Exper,,Inst for Afr American Studies,,,,,,,
30616 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0053 0101,,,Athens,Pratt,1,30,30
AFAM,3230,African Amer Lit,,Inst for Afr American Studies,,,,,,,
33539 0,C 3.0 - 3.0,T R,12:30 pm-01:45 pm,0056 0126,,,Athens,Miller,1,0,0
AFAM,4860,Afr Hispanic Ident,,Inst for Afr American Studies,,,,,,,
33908 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0058 0314,,,Athens,Feracho,1,10,10
AFAM,6860,Afr Hispanic Ident,,Inst for Afr American Studies,,,,,,,
33909 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0058 0314,,,Athens,Feracho,1,5,5
AFAM,7500,Grad Intro Afam,,Inst for Afr American Studies,,,,,,,
33904 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0058 0207,,,Athens,Feracho,1,10,10
AFST,1200,Intro Afrcn Reli,,African Studies Institute,,,,,,,
30938 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0042 0219A,,,Athens,Aderibigbe,1,10,10
AFST,2100,Introduction to Africa,,African Studies Institute,,,,,,,
15900 0,A 3.0 - 3.0,T R,08:00 am-09:15 am,0066 N106,,,Athens,Aderibigbe,1,250,250
AFST,3001,The Swahili and the World I,,African Studies Institute,,,,,,,
30759 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0061 0004,,,Athens,Maganda,1,30,30
34746 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0081 0247,,,Athens,Maganda,1,30,30
AFST,3030,Afr Lang and Cult,,African Studies Institute,,,,,,,
25983 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0250 0242,,,Athens,Traore,1,35,35
AFST,3150,Intro to Modern African Lit,,African Studies Institute,,,,,,,
15989 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0250 0242,,,Athens,Traore,1,35,35
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,CAMPUS,,INSTRUCTOR,TERM,SIZE,AVL
AFST,3460,Africa Peoples/inst,,African Studies Institute,,,,,,,
34818 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0062 0506,,Athens,,Whitney,1,35,35
AFST,3545,Hist of the Sahara,,African Studies Institute,,,,,,,
33650 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0053 0101,,Athens,,Cleaveland,1,30,30
AFST,3990,Dir Study Afst,,African Studies Institute,,,,,,,
23940 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,Athens,,Ojo,1,5,5
AFST,4200,Africa Crit Issues,,African Studies Institute,,,,,,,
16047 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0062 0515,,Athens,,Whitney,1,30,30
AFST,4501,Special Topics Yorb,,African Studies Institute,,,,,,,
34624 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,Athens,,Ojo,1,15,15
AFST,4710,International Ag Development,,African Studies Institute,,,,,,,
25041 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0350,,Athens,,Navarro,1,12,12
AFST,4950,Africa Seminar,,African Studies Institute,,,,,,,
31658 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,0120 0217,,Athens,,Whitney,1,15,15
AFST,6200,Africa Crit Issues,,African Studies Institute,,,,,,,
22501 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,TBA TBA,,Athens,,Whitney,1,30,30
AFST,6710,International Ag Development,,African Studies Institute,,,,,,,
25043 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0350,,Athens,,Navarro,1,5,5
AGCM,1200,Comm Agric and Environ,,"Ag Leadership, Edu, and Comm",,,,,,,
25018 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,1010 0116,,Athens,,Holt,1,100,100
AGCM,3200,Intro to Agricultural Comm,,"Ag Leadership, Edu, and Comm",,,,,,,
26781 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1057 C120,,Athens,,Borron,1,50,50
AGCM,3400W,Writing for Agricultural Com,,"Ag Leadership, Edu, and Comm",,,,,,,
34595 0,A 3.0 - 3.0,M,09:00 am-12:00 pm,1061 1203,,Athens,,Holt,1,18,18
AGCM,3810,Intro Digi Photo Edit for Agr,,"Ag Leadership, Edu, and Comm",,,,,,,
26232 0,A 3.0 - 3.0,W,09:00 am-12:00 pm,1061 1203,,Athens,,Holt,1,19,19
AGCM,3910,Ag Com Internship,,"Ag Leadership, Edu, and Comm",,,,,,,
26231 0,A 2.0 - 6.0,,12:01 am-11:59 pm,NCRR NCRR,,Athens,,Holt,1,20,20
28611 0,A 2.0 - 6.0,,12:01 am-11:59 pm,NCRR NCRR,,Athens,,Borron,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
AGCM,4000,Spec Prob Ag Comm,,"Ag Leadership, Edu, and Comm",,,,,,,
25020 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Borron,1,30,30
AGED,2001,Teaching with Animals,,"Ag Leadership, Edu, and Comm",,,,,,,
31604 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1001 0551,Athens,,,Fuhrman,1,50,50
AGED,4000,Direct Proj Educ,,"Ag Leadership, Edu, and Comm",,,,,,,
27431 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,,1,5,5
30435 0,A 1.0 - 3.0,M,03:35 pm-06:35 pm,TBA TBA,Tifton,,,Peake,1,30,30
32268 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Rubenstein,1,5,5
32569 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Tifton,,,Peake,1,10,10
AGED,4010,Clinical Experience in AGED,,"Ag Leadership, Edu, and Comm",,,,,,,
16815 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,,1,40,40
16956 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Tifton,,,Peake,1,40,40
AGED,4340,Dev Com Prog Ag,,"Ag Leadership, Edu, and Comm",,,,,,,
25264 0,A 3.0 - 3.0,M W,02:30 pm-04:25 pm,2835 0213,Athens,,,Rubenstein,1,40,40
30436 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,TBA TBA,Tifton,,,Peake,1,40,40
AGED,4350,Curr Plan in Ag Ed,,"Ag Leadership, Edu, and Comm",,,,,,,
16962 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,TBA TBA,Tifton,,,,1,20,20
21055 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,2835 0213,Athens,,,Rubenstein,1,30,30
AGED,4360,Inst Strat in Ag Ed,,"Ag Leadership, Edu, and Comm",,,,,,,
16871 0,A 3.0 - 3.0,T R,02:00 pm-04:15 pm,2835 0213,Athens,,,,1,25,25
26535 0,A 3.0 - 3.0,T R,02:00 pm-04:15 pm,TBA TBA,Tifton,,,,1,30,30
AGED,4370,Agricultural Science for Teach,,"Ag Leadership, Edu, and Comm",,,,,,,
27623 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,TBA TBA,Tifton,,,,1,20,20
AGED,5460,Stu Teach in Ag Ed,,"Ag Leadership, Edu, and Comm",,,,,,,
31362 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Rubenstein,1,3,3
AGED,6010,Clinical Experience in AGED,,"Ag Leadership, Edu, and Comm",,,,,,,
16826 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,,1,5,5
23488 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Tifton,,,Peake,1,10,10
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
AGED,6340,Dev Com Prog Ag,,"Ag Leadership, Edu, and Comm",,,,,,,
16860 0,A 3.0 - 3.0,M W,02:30 pm-04:25 pm,2835 0213,Athens,,,Rubenstein,1,5,5
23491 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,TBA TBA,Tifton,,,Peake,1,5,5
AGED,6350,Curr Plan in Ag Ed,,"Ag Leadership, Edu, and Comm",,,,,,,
21059 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,2835 0213,Athens,,,Rubenstein,1,10,10
21060 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,TBA TBA,Tifton,,,,1,10,10
AGED,6360,Inst Strat in Ag Ed,,"Ag Leadership, Edu, and Comm",,,,,,,
16884 0,A 3.0 - 3.0,T R,02:00 pm-04:15 pm,2835 0213,Athens,,,,1,5,5
26536 0,A 3.0 - 3.0,T R,02:00 pm-04:15 pm,TBA TBA,Tifton,,,,1,10,10
AGED,6370,Agricultural Science for Teach,,"Ag Leadership, Edu, and Comm",,,,,,,
28219 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,TBA TBA,Tifton,,,,1,15,15
AGED,7650,App Project Ag Ed,,"Ag Leadership, Edu, and Comm",,,,,,,
27430 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,,1,5,5
AIRS,1001,Foundatns of USAF I,,,,,,,,,
25975 0,A 1.0 - 1.0,M,10:10 am-11:00 am,1031 0106,Athens,,,Selvidge,1,20,20
26018 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,1031 0106,Athens,,,Selvidge,1,20,20
AIRS,1001L,Leader Lab I GMC,,,,,,,,,
26133 0,A 1.0 - 1.0,T,03:30 pm-06:15 pm,1031 0107,Athens,,,Lane,1,20,20
AIRS,2001,Air Power History I,,,,,,,,,
26046 0,A 1.0 - 1.0,W,10:10 am-11:00 am,1031 0106,Athens,,,Selvidge,1,20,20
26069 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,1031 0106,Athens,,,Selvidge,1,20,20
AIRS,2001L,Leader Lab I GMC,,,,,,,,,
26145 0,A 1.0 - 1.0,T,03:30 pm-06:15 pm,1031 0106,Athens,,,Lane,1,20,20
AIRS,3001,Af Ldrshp Studies I,,,,,,,,,
26082 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1031 0107,Athens,,,Lane,1,20,20
26093 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,1031 0107,Athens,,,Lane,1,20,20
AIRS,3001L,Leader Lab I Poc,,,,,,,,,
26151 0,A 1.0 - 1.0,T,03:30 pm-06:15 pm,1031 0102,Athens,,,Lane,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
AIRS,4001,Natl Sec Affairs I,,,,,,,,,
26099 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1031 0107,Athens,,,Best,1,20,20
26117 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,1031 0107,Athens,,,Best,1,20,20
AIRS,4001L,Leader Lab I Poc,,,,,,,,,
26156 0,A 1.0 - 1.0,T,03:30 pm-06:15 pm,1031 0101,Athens,,,Lane,1,20,20
ALDR,3820H,Reflection Fighting Hunger Hon,,"Ag Leadership, Edu, and Comm",,,,,,,
25030 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081 0274,Athens,,,Navarro,1,20,20
ALDR,3900S,Leadership,,"Ag Leadership, Edu, and Comm",,,,,,,
24951 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,TBA TBA,Athens,,,,1,110,110
ALDR,3910,Intern Leadership,,"Ag Leadership, Edu, and Comm",,,,,,,
24970 0,A 3.0 - 3.0,,12:01 am-11:59 pm,TBA TBA,Athens,,,,1,10,10
ALDR,4000,Direct Proj Leader,,"Ag Leadership, Edu, and Comm",,,,,,,
32570 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Tifton,,,,1,10,10
ALDR,4080,Agriculture Extension Admin,,"Ag Leadership, Edu, and Comm",,,,,,,
25260 0,A 3.0 - 3.0,M,05:00 pm-07:45 pm,1690 0214,Athens,,,Ryles,1,20,20
ALDR,4540,Adv Leader Theory Eth Culture,,"Ag Leadership, Edu, and Comm",,,,,,,
24962 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,1060 00G5,Athens,,,,1,40,40
ALDR,4710,International Ag Development,,"Ag Leadership, Edu, and Comm",,,,,,,
25033 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0350,Athens,,,Navarro,1,40,40
ALDR,4800E,Grantseeking,,"Ag Leadership, Edu, and Comm",,,,,,,
34600 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR TBA,Online,,,Kelsey,1,10,10
ALDR,6080,Agriculture Extension Admin,,"Ag Leadership, Edu, and Comm",,,,,,,
25261 0,A 3.0 - 3.0,M,05:00 pm-07:45 pm,1690 0214,Athens,,,Ryles,1,11,11
ALDR,6540,Adv Leader Theory Eth Culture,,"Ag Leadership, Edu, and Comm",,,,,,,
24967 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,1060 00G5,Athens,,,,1,10,10
ALDR,6710,International Ag Development,,"Ag Leadership, Edu, and Comm",,,,,,,
25032 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0350,Athens,,,Navarro,1,10,10
ALDR,6800E,Grantseeking,,"Ag Leadership, Edu, and Comm",,,,,,,
34601 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Online,,,Kelsey,1,10,10
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
ALDR,7000,Master's Research,,"Ag Leadership, Edu, and Comm",,,,,,,
16964 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR NCRR,Tifton,,,Peake,1,5,5
17686 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR NCRR,Tifton,,,,1,5,5
24946 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Borron,1,10,10
24975 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,,1,5,5
25017 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Fuhrman,1,5,5
25023 0,A 1.0 - 12.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Holt,1,5,5
